country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Afghanistan;;;;;;;;;;;;;;;;;;;;;;;-0.1;-2.1;-2.4;-1;0.6;-2.5;-3.9;-1.8;0.9;-0.7;0.2;-0.6;-1.7;-1.4;0.1;-0.6;1.5;-0.8;-0.1;0;-0.1;-0.1;-0.1
Albania;;;;;;;;;;;;;;;;;;-11.9;-9.9;-8.8;-7.8;-6.8;-6.2;-5;-5.2;-3.5;-3.3;-3.2;-4.9;-6.6;-3.5;-3.5;-3.4;-5.2;-5.5;-4.1;-1.8;-1.4;-1.6;-2.5;-2;-1.9;-1.8;-1.6;-1.7
Algeria;;;;;;;;;;;3.2;3.8;0.8;-5.9;-1.9;0.6;3.9;2.9;-3.6;-1.9;9.7;3.7;1.2;4.9;5.3;13.6;14;6.6;9.6;-5.8;0;-0.1;-4.4;-0.4;-7.3;-15.3;-13.1;-6.6;-4.8;-8.1;-5.8;-5.4;-3.3;-1.6;-0.3
Angola;;;;;;;;;;;;;;;;;5.9;-0.3;-6.7;-10.6;2.3;3.2;-2.5;-4.7;1.2;7.2;9.4;4.3;-4.2;-7.9;3.4;8.1;4.1;-0.3;-5.7;-2.9;-4.5;-6.3;2.2;0.8;0.1;0.3;0.4;0.5;0.4
Antigua and Barbuda;;;;;;;;;;;0.1;-4.1;-0.9;-2.6;-4.6;-4.2;-1.7;0;-1.8;-3.4;-4.9;-9.4;-9.7;-8.1;-4.4;-4.8;-7.5;-5.6;-5.4;-17.9;-0.3;-3.5;-1.1;-4.3;-2.9;-2.6;-0.1;-1.5;-4.2;-4.2;-4.3;-4.7;-5.1;-5.5;-5.8
Argentina;;;;;;;;;;;;;;0;-1.3;-2.1;-2.9;-1.9;-1.9;-3.8;-3.5;-5.6;-2;1.5;4;3.3;1.7;0.8;0.4;-1.8;-1.4;-2.7;-3;-3.3;-4.3;-6;-6.7;-6.7;-5.2;-4;-2.7;-3.1;-3;-2.7;-2.9
Armenia;;;;;;;;;;;;;;;;;;;;;;;;;;-2;-2;-2.3;-1.8;-7.7;-5;-2.9;-1.5;-1.6;-1.9;-4.8;-5.6;-4.8;-1.8;-1.5;-2.2;-1.9;-1.9;-1.9;-1.8
Aruba;;;;;;;;;;;;;;;;-0.8;-2.3;-2.1;0.1;0.1;0.6;-0.8;-3.2;1.9;-8.6;-3;-2.6;-1.1;1.5;-2.7;-3.6;-6.7;-9.2;-6.4;-7.9;-1.6;-1.6;-3;-2.2;-0.7;-0.9;-0.8;-0.6;-0.5;-0.4
Australia;;;;;;;;;0.5;0.9;-0.2;-2.8;-4.8;-4.7;-3.8;-2.6;-1.5;-0.5;-0.2;0.7;1.3;0;0.2;1.1;1.3;1.7;1.8;1.5;-1.1;-4.6;-5.1;-4.5;-3.5;-2.8;-2.9;-2.8;-2.5;-1.7;-0.8;-0.7;-0.7;-0.3;0.1;0.2;0.2
Austria;;;;;;;;;-3.4;-3;-2.6;-2.9;-2.1;-4.5;-5;-6.1;-4.4;-2.4;-2.7;-2.6;-2.1;-0.7;-1.9;-1.4;-4.8;-2.5;-2.6;-1.4;-1.5;-5.4;-4.5;-2.6;-2.2;-2;-2.7;-1;-1.6;-0.7;0.1;0.1;-0.2;-0.1;0.2;0.4;0.5
